Word                            Count
pleases                             1
pleasing                            1
pleasure                            2
plenty                              2
po                                  1
pocket                              5
pointed                             1
pointing                            4
poker                               1
poky                                1
politely                            6
pool                               11
pool—she                            1
poor                               26
pop                                 1
pope                                1
porpoise                            3
porpoise?’                          1
position                            2
positively                          1
possessed                           1
possession                          1
possibility                         1
possible                            1
possibly                            3
posted                              4
pounds                              1
pour                                1
poured                              1
powdered                            1
practically                         1
practice                            1
pray                                2
precious                            1
prepare                             2
present                             2
presented                           1
presently                           2
presents                            2
present—at                          1
preserve                            1
pressed                             3
pressing                            1
pretend                             1
pretending                          1
pretexts                            1
pretty                              1
prevent                             2
previous                            1
principal                           1
print                               1
printed                             3
prison                              1
prisoner                            1
prisoner’s                          1
prize                               1
prizes                              4
problem                             1
proceed                             2
processing                          1
procession                          5
processions                         1
produce                             1
produced                            4
producing                           1
production                          1
professor                           1
profit                              1
profits                             1
prohibition                         1
project                            88
prominently                         2
promise                             1
promised                            1
promising                           1
promoting                           2
promotion                           1
pronounced                          1
proofread                           1
proper                              3
property                            2
proposal                            1
proprietary                         1
prosecute                           1
protect                             2
protected                           5
protection                          1
proud                               2
prove                               1
proved                              2
proves                              2
provide                             7
provided                            4
providing                           4
provision                           1
provisions                          1
provoking                           1
public                              3
puffed                              1
pulled                              1
pulling                             1
pun                                 1
punching                            1
punished                            1
punitive                            1
puppy                               6
puppy’s                             1
purple                              1
purpose                             2
purring                             2
push                                1
puss                                1
put                                31
putting                             3
puzzle                              1
puzzled                             9
puzzling                            4
quadrille                           5
quarrel                             1
quarrelled                          1
quarrelling                         2
queen                              68
queens                              1
queen’s                             8
queer                              10
queer-looking                       1
queer-shaped                        1
queerest                            1
question                           17
questions                           3
questions.—how                      1
quick                               2
quicker                             1
quickly                             2
quiet                               2
quietly                             5
quite                              55
quiver                              1
rabbit                             44
rabbit-hole                         4
rabbit-hole—and                     1
rabbits                             1
rabbit’s                            3
rabbit’s—“pat                       1
race                                2
race-course                         1
railway                             2
raised                              2
raising                             1
ran                                16
rapidly                             2
rapped                              1
rat-hole                            1
rate                                9
rather                             25
rats                                1
rattle                              1
rattling                            2
raven                               1
ravens                              1
raving                              2
raw                                 1
re-use                              2
reach                               4
reaching                            2
read                               12
read:—                              1
readable                            2
readily                             1
reading                             4
ready                               8
real                                3
reality—the                         1
really                             10
rearing                             1
reason                              9
reasonable                          2
reasons                             1
receipt                             2
receive                             3
received                            6
receiving                           1
recently                            1
recognised                          1
recovered                           2
red                                 2
red-hot                             1
redistribute                        1
redistributing                      2
redistribution                      2
reduced                             1
reeds—the                           1
references                          2
refreshments                        1
refund                             10
refused                             1
registered                          2
regular                             2
regulating                          1
release                             1
relief                              2
relieved                            1
remain                              2
remained                            3
remaining                           2
remark                             10
remarkable                          2
remarked                           10
remarking                           3
remarks                             3
remedies                            1
remedies—                           1
remember                           14
remembered                          5
remembering                         1
reminding                           1
remove                              1
removed                             4
renamed                             1
repeat                              6
repeated                           10
repeating                           3
replace                             1
replacement                         5
replied                            29
reply                               5
reported                            1
reports                             1
representations                     1
request                             1
require                             1
required                            1
requirements                        4
research                            2
resource                            1
respect                             1
respectable                         1
respectful                          1
rest                               10
resting                             2
restrictions                        2
result                              1
retire                              1
return                              3
returned                            2
returning                           1
returns                             1
revenue                             1
rich                                1
riddle                              1
riddles                             1
riddles.—i                          1
ridge                               1
ridges                              1
ridiculous                          1
right                              34
right-hand                          1
righthand                           1
rightly                             1
ring                                2
ringlets                            2
riper                               1
rippling                            1
rise                                1
rises                               1
rising                              1
roared                              1
roast                               1
rock                                1
rome                                1
rome—no                             1
roof                                6
room                               13
roots                               1
rope—will                           1
rose                                1
rose-tree                           4
roses                               3
roughly                             1
round                              40
round!’                             1
row                                 2
royal                               2
royalties                           2
royalty                             3
rubbed                              1
rubbing                             2
rude                                2
rudeness                            1
rule                                4
rules                               5
rumbling                            1
run                                 4
running                             8
rush                                2
rushed                              1
rustled                             1
rustling                            1
s                                   1
s/he                                1
sad                                 3
sadly                               4
sadly:—                             1
safe                                2
sage                                1
said                              458
said—                               3
salmon                              1
salt                                3
same                               24
sand                                1
sands                               1
sang                                2
sat                                17
saucepan                            1
saucepans                           1
saucer                              1
savage                              4
save                                1
saves                               1
saw                                14
say                                50
saying                             15
says                                4
say—that’s                          1
scale                               1
scaly                               1
scattered                           1
school                              5
schoolroom                          1
scolded                             1
scrambling                          1
scratching                          1
scream                              2
screamed                            4
screaming                           1
scroll                              2
sea                                12
sea-shore—                          1
seaography                          1
search                              2
seaside                             1
seated                              1
sea—                                1
second                              6
secondly                            2
secret                              1
section                             7
sections                            1
secure                              1
see                                68
seeing                              1
seem                                8
seemed                             27
seems                               5
seen                               14
seen—everything                     1
see—how                             1
see’                                1
seldom                              1
sell                                2
send                                2
sending                             3
sends                               2
sensation                           2
sense                               3
sent                                3
sentence                            7
sentenced                           1
series                              1
seriously                           1
serpent                             7
serpents                            3
service                             1
set                                23
setting                             1
settle                              1
settled                             3
settling                            1
seven                               5
several                             5
severely                            4
severity                            1
sh                                  1
shade                               1
shake                               1
shakespeare                         1
shaking                             3
shall                              25
shan’t                              5
shape                               1
shaped                              2
share                               2
shared                              2
sharing                             2
shark                               1
sharks                              1
sharp                               6
sharply                             4
she                               533
shedding                            1
sheep-bells                         1
shelves                             1
shepherd                            1
she’d                               1
she’ll                              3
she’s                               4
shifting                            1
shilling                            1
shillings                           1
shingle—will                        1
shining                             1
shiny                               1
shiver                              1
shock                               1
shoes                               7
shook                               9
shore                               3
short                               4
shorter                             2
should                             29
shoulder                            4
shoulders                           4
shouldn’t                           5
shouted                             9
shouting                            2
show                                3
shower                              2
showing                             2
shriek                              5
shrieked                            1
shrieks                             1
shrill                              5
shrimp                              1
shrink                              1
shrinking                           4
shut                                5
shutting                            2
shyly                               1
side                               17
sides                               4
sigh                                4
sighed                              5
sighing                             3
sight                              10
sign                                1
signed                              2
signifies                           1
signify                             1
silence                            12
silent                              7
simple                              5
simpleton                           1
simply                              2
simply—‘never                       1
since                               4
sing                                6
singers                             2
singing                             2
sink                                1
sir                                 6
sir—                                1
sister                              8
sisters                             1
sisters—they                        1
sister’s                            1
sit                                 6
site                                4
sits                                1
sitting                            10
six                                 2
sixpence                            1
size                               13
sizes                               1
skimming                            1
skirt                               1
skurried                            1
sky                                 4
sky-rocket                          1
slate                               2
slate-pencil                        1
slates                              7
slates’ll                           1
slate—oh                            1
sleep                               5
sleepy                              5
sleep’                              1
slightest                           1
slipped                             3
slippery                            1
slowly                              8
sluggard_,’                         1
small                              12
smaller                             3
smallest                            2
smile                               2
smiled                              2
smiling                             2
smoke                               1
smoking                             2
snail                               3
snappishly                          1
snatch                              2
sneeze                              2
sneezed                             1
sneezes                             2
sneezing                            6
snorting                            1
snout                               1
so                                143
sob                                 1
sobbed                              1
sobbing                             3
sobs                                4
soft                                1
softly                              1
soldier                             1
soldiers                           10
solemn                              3
solemnly                            4
solicit                             2
solicitation                        1
solid                               1
some                               51
somebody                            6
somehow                             1
someone                             1
somersault                          1
something                          18
sometimes                           5
somewhere                           3
son                                 1
song                                7
soon                               25
sooner                              2
soothing                            1
soo—oop                             6
sorrow                              2
sorrowful                           2
sorrows                             1
sorry                               1
sort                               20
sorts                               3
sound                               4
sounded                             5
sounds                              4
soup                               17
soup_,’                             1
sour—and                            1
so—and                              1
spades                              1
speak                              12
speaker                             1
speaking                            5
speak—and                           1
special                             1
specific                            1
specified                           2
spectacles                          3
speech                              3
speed                               1
spell                               1
spite                               1
splash                              1
splashed                            1
splashing                           2
splendidly                          1
spoke                              16
spoken                              1
spoke—fancy                         1
spoon                               2
spot                                1
sprawling                           1
spread                              4
spreading                           1
squeaked                            1
squeaking                           2
squeeze                             1
squeezed                            1
staff                               1
stairs                              3
stalk                               1
stamping                            2
stand                               5
standing                            1
star-fish                           1
staring                             3
start                               3
started                             2
startled                            2
state                               6
state's                             1
statements                          1
states                             19
station                             1
status                              4
stay                                5
stays                               1
steady                              1
steam-engine                        1
sternly                             1
stick                               4
sticks                              1
stiff                               1
stigand                             1
still                              13
stingy                              1
stirring                            2
stockings                           1
stole                               3
stood                               7
stool                               1
stoop                               2
stop                                6
stopped                             3
stopping                            1
stored                              1
story                               9
straight                            2
straightened                        1
straightening                       1
strange                             5
strength                            1
stretched                           2
stretching                          2
strict                              1
strings                             1
struck                              2
stuff                               3
stupid                              3
stupidest                           1
stupidly                            1
subdued                             1
subject                             7
subjects                            1
submitted                           1
subscribe                           1
succeeded                           3
such                               46
sudden                              5
suddenly                           13
suet                                1
sugar                               1
suit                                3
sulkily                             2
sulky                               3
summer                              2
sun                                 2
supple                              1
support                             4
suppose                            12
suppress                            1
suppressed                          4
sure                               20
surprise                            5
surprised                           7
survive                             1
swallow                             1
swallowed                           1
swallowing                          1
swam                                5
swamp                               1
sweet-tempered                      1
swim                                3
swim_—                              1
swimming                            2
synonymous                          1
t                                   1
table                              18
tail                                9
tails                               3
take                               19
taken                               4
takes                               3
taking                              5
tale                                5
talk                               14
talking                            16
taller                              2
tarts                               8
taste                               2
tasted                              2
tasted—                             1
tastes                              1
taught                              4
tax                                 6
taxes                               1
tea                                11
tea-party                           3
tea-things                          1
tea-time                            2
tea-tray                            1
teaching                            1
teacup                              3
teacups                             2
teapot                              1
tears                              12
teases                              1
tea—                                1
tea—not                             1
teeth                               1
telescope                           3
telescopes                          1
tell                               29
telling                             2
tells                               2
temper                              5
ten                                 5
terms                              22
terribly                            1
terrier                             1
terror                              1
texts                               1
than                               25
thank                               1
thanked                             1
that                              275
that?—it                            1
thatched                            1
that—only                           1
that’ll                             1
that’s                             17
the                              1800
their                              51
theirs                              1
them                               83
themselves                          2
themselves.’                        1
them—                               1
them—all                            1
them—and                            2
them—“i                             1
then                               78
then!—bill’s                        1
then_—she                           1
then—always                         1
then—i                              1
there                              71
therefore                           1
there’s                            16
these                              17
they                              120
they’d                              3
they’ll                             4
they’re                            10
they’ve                             1
the—                                1
thick                               1
thimble                             4
thing                              49
things                             29
things—                             1
things—everything                   1
things—i                            1
think                              50
thinking                           10
think—                              3
thin—and                            1
thirteen                            1
this                              178
this:—                              2
thistle                             2
thoroughly                          2
those                              11
though                             11
thought                            74
thoughtfully                        4
thoughts                            2
thousand                            2
three                              25
three-legged                        2
threw                               2
throat                              2
throne                              1
through                            16
throughout                          1
throw                               3
throwing                            2
thrown                              1
thump                               2
thunder                             1
thunderstorm                        1
thus                                1
tide                                1
tidy                                1
tie                                 1
tied                                1
tight                               1
till                               19
tillie                              1
time                               68
times                               6
timid                               3
timidly                             9
tinkling                            1
tiny                                4
tipped                              1
tiptoe                              2
tired                               7
title                               1
tittered                            1
to                                797
to-day                              3
to-night                            1
toast                               1
today                               1
toes                                3
toffee                              1
together                            8
together.’                          1
told                                6
tomorrow—                           1
tone                               40
tones                               2
tongue                              4
too                                25
took                               24
top                                 8
tops                                1
tortoise                            2
tortoise—                           1
toss                                1
tossing                             3
touch                               1
tougher                             1
towards                             1
toys                                1
to—                                 1
to—to                               1
trademark                          11
trademark/copyright                 1
trampled                            1
transcribe                          1
transcription                       1
treacle                             3
treacle-well                        1
treacle-well—eh                     1
treading                            2
treat                               1
treated                             1
treatment                           1
tree                                5
trees                               7
tremble                             1
trembled                            2
trembling                           6
tremulous                           1
trial                               7
trials                              1
trial’s                             3
trickling                           1
tricks                              1
tried                              19
trims                               1
triumphantly                        2
trot                                1
trotting                            2
trouble                             6
true                                3
true_—’                             1
trumpet                             3
trusts                              1
truth                               1
truthful                            1
try                                12
trying                             13
trying—                             1
tucked                              3
tulip-roots                         1
tumbled                             1
tumbling                            2
tunnel                              1
tureen                              1
turkey                              1
turn                                8
turn-up                             1
turned                             16
turning                            12
turns                               3
turtle                             55
turtles                             2
turtle—we                           1
turtle’s                            3
tut                                 1
twelfth                             1
twelve                              4
twentieth                           1
twenty                              1
twenty-four                         1
twice                               4
twice—                              1
twinkle                             4
twinkle_—                           1
twinkled                            1
twinkle—’                           1
twinkling                           4
twist                               2
two                                36
two_—’                              1
types                               1
u.s                                 7
ugh                                 1
uglification                        1
uglify                              1
uglifying                           1
ugly                                2
unable                              1
uncivil                             1
uncomfortable                       4
uncomfortably                       1
uncommon                            1
uncommonly                          1
uncorked                            1
under                              22
underneath                          2
understand                          7
understood                          1
undertone                           2
undo                                1
undoing                             1
uneasily                            2
uneasy                              1
unenforceability                    1
unfolded                            2
unfortunate                         3
unhappy                             2
uniform                             1
united                             15
unjust                              1
unless                              5
unlink                              1
unlocking                           1
unpleasant                          2
unprotected                         1
unrolled                            2
unsolicited                         1
until                               4
untwist                             1
unusually                           1
unwillingly                         1
up                                 99
updated                             2
upon                               28
upright                             1
upset                               3
upsetting                           1
upstairs                            1
us                                 14
us!’                                1
use                                29
used                               15
used—and                            1
useful                              2
user                                3
using                               8
usual                               5
usually                             2
usurpation                          1
ut                                  1
utf-8                               1
v                                   2
vague                               1
vanilla                             2
vanished                            4
vanishing                           1
variations                          1
variety                             1
various                             2
vegetable                           1
velvet                              1
venture                             3
ventured                            4
verdict                             3
verse                               4
verses                              4
version                             1
very                              140
vi                                  2
viewed                              1
viewing                             1
vii                                 2
viii                                2
vinegar                             1
violates                            1
violence                            1
violent                             2
violently                           4
virus                               1
visit                               3
voice                              46
voice:—                             1
voices                              2
voices—“hold                        1
voice—the                           1
void                                1
volunteer                           1
volunteers                          6
vote                                1
vulgar                              1
wag                                 1
wags                                1
waist                               1
waistcoat-pocket                    2
wait                                1
waited                             11
waiting                             9
walk                                4
walk!’                              1
walked                             10
walking                             5
walks                               1
walrus                              1
wander                              1
wandered                            2
wandering                           2
want                                9
wanted                              4
wants                               2
warning                             1
warranties                          3
warranty                            2
was                               358
wash                                2
washing                             2
washing_—extra.’                    1
wasn’t                             11
waste                               1
wasting                             2
watch                               8
watched                             2
watching                            3
water                               4
water-well                          1
waters                              1
waving                              5
way                                52
way:—                               1
ways                                2
way—                                1
way—never                           1
we                                 26
weak                                2
wearily                             1
web                                 5
week                                3
weeks                               1
welcome                             1
well                               35
well—                               1
went                               83
wept                                1
were                               85
weren’t                             1
west                                1
wet                                 2
we’re                               1
we’ve                               2
what                               99
whatever                            3
whatsoever                          2
what’s                              2
when                               75
whenever                            1
where                              16
whereupon                           1
wherever                            2
where—                              1
whether                            11
which                              52
while                              25
whiles                              1
whiskers                            3
whisper                             3
whispered                           5
whispers                            1
whistle                             1
whistling                           1
white                              30
whiting                             8
who                                58
whole                              13
whom                                2
whose                               2
why                                17
wide                                3
wider                               1
widest                              2
widger                              2
wife                                1
wig                                 2
wild                                2
wildly                              2
will                               37
william                             5
william_,’                          1
william’s                           1
win                                 1
wind                                2
window                              8
wine                                2
wings                               1
wink                                2
winter                              1
wise                                2
wish                               22
with                              227
within                              5
within—a                            1
without                            32
without—maybe                       1
witness                            10
wits                                1
woke                                1
woman                               1
woman—but                           1
won                                 2
wonder                             18
wondered                            1
wonderful                           2
wondering                           7
wonderland                          8
won’t                              24
wood                                7
wooden                              1
wood—(she                           1
word                               11
words                              19
words:—                             2
wore                                1
work                               53
works                              33
world                               9
worm                                1
worried                             1
worry                               1
worse                               3
worth                               4
would                              78
wouldn’t                           12
wow                                 4
wrapping                            1
wretched                            2
wriggling                           1
write                               5
writhing                            1
writing                             7
writing-desk                        1
writing-desks                       1
written                             9
wrong                               5
wrote                               3
www.gutenberg.org                   5
www.gutenberg.org/contact           1
www.gutenberg.org/donate            2
www.gutenberg.org/license           1
x                                   2
xi                                  2
xii                                 2
yards                               1
yawned                              2
yawning                             2
ye                                  1
year                                2
years                               2
yelled                              1
yelp                                1
yer                                 4
yesterday                           3
yet                                22
yet—and                             1
yet—it’s                            1
yet—oh                              1
you                               388
you'll                              2
you_,’                              1
you_.—come                          1
young                               5
your                               69
yours                               2
yours.’                             1
yourself                           10
youth                               6
you—all                             1
you—are                             1
you’d                               8
you’ll                              4
you’re                             17
you’ve                              5
zealand                             1
zigzag                              1
